iter	Passed	Remaining
0	205	205580
1	207	103674
2	212	70481
3	214	53449
4	216	43038
5	217	36111
6	219	31125
7	221	27522
8	224	24685
9	225	22349
10	227	20429
11	230	18987
12	234	17770
13	236	16661
14	240	15762
15	245	15115
16	251	14522
17	253	13818
18	255	13212
19	257	12627
20	259	12091
21	261	11603
22	265	11260
23	268	10910
24	270	10531
25	272	10226
26	275	9918
27	280	9724
28	281	9439
29	284	9189
30	286	8967
31	289	8747
32	292	8563
33	298	8482
34	301	8312
35	303	8140
36	306	7973
37	309	7833
38	311	7672
39	313	7521
40	317	7419
41	321	7323
42	323	7201
43	325	7068
44	327	6942
45	329	6828
46	331	6724
47	335	6659
48	339	6580
49	342	6514
50	345	6421
51	347	6328
52	349	6243
53	353	6201
54	360	6202
55	365	6165
56	369	6109
57	373	6059
58	375	5986
59	382	5990
60	386	5951
61	389	5897
62	391	5828
63	394	5762
64	396	5706
65	408	5786
66	411	5729
67	414	5675
68	417	5627
69	419	5572
70	421	5513
71	424	5476
72	434	5522
73	437	5477
74	439	5419
75	441	5364
76	444	5326
77	446	5282
78	448	5232
79	454	5230
80	460	5224
81	465	5206
82	466	5154
83	470	5125
84	475	5114
85	478	5089
86	481	5048
87	483	5011
88	487	4986
89	489	4952
90	491	4913
91	494	4878
92	500	4885
93	505	4868
94	507	4836
95	511	4813
96	514	4785
97	517	4761
98	520	4736
99	522	4705
100	525	4675
101	527	4643
102	529	4611
103	531	4579
104	533	4548
105	537	4532
106	539	4501
107	541	4471
108	544	4450
109	547	4430
110	551	4417
111	559	4433
112	561	4407
113	564	4386
114	568	4373
115	570	4350
116	580	4384
117	583	4363
118	585	4337
119	588	4312
120	590	4288
121	592	4262
122	594	4238
123	606	4281
124	608	4257
125	610	4233
126	614	4224
127	616	4199
128	618	4176
129	628	4208
130	630	4185
131	632	4160
132	634	4137
133	636	4111
134	638	4091
135	640	4067
136	641	4043
137	648	4053
138	651	4033
139	652	4011
140	654	3989
141	655	3963
142	657	3942
143	660	3925
144	662	3906
145	666	3899
146	669	3887
147	672	3868
148	673	3847
149	675	3827
150	677	3806
151	678	3786
152	680	3765
153	681	3744
154	683	3723
155	684	3703
156	686	3683
157	689	3674
158	692	3663
159	694	3645
160	695	3623
161	696	3603
162	697	3583
163	699	3564
164	700	3546
165	702	3528
166	703	3510
167	705	3493
168	706	3474
169	708	3456
170	711	3448
171	713	3435
172	715	3419
173	716	3403
174	718	3387
175	720	3372
176	722	3358
177	724	3345
178	726	3330
179	727	3316
180	729	3301
181	733	3298
182	736	3287
183	738	3273
184	739	3259
185	741	3246
186	743	3233
187	745	3218
188	746	3205
189	748	3190
190	750	3178
191	752	3165
192	754	3153
193	756	3142
194	758	3129
195	759	3116
196	761	3103
197	763	3091
198	764	3079
199	766	3067
200	768	3055
201	770	3043
202	772	3031
203	774	3020
204	780	3026
205	782	3017
206	784	3005
207	786	2995
208	788	2983
209	790	2971
210	791	2960
211	793	2948
212	795	2937
213	796	2927
214	799	2920
215	802	2913
216	805	2906
217	807	2896
218	808	2884
219	811	2875
220	814	2870
221	815	2859
222	817	2848
223	819	2839
224	826	2848
225	829	2840
226	831	2830
227	833	2823
228	835	2813
229	839	2810
230	842	2803
231	845	2800
232	849	2795
233	851	2788
234	853	2779
235	855	2769
236	857	2760
237	861	2758
238	862	2747
239	864	2736
240	865	2725
241	870	2725
242	872	2719
243	874	2709
244	876	2699
245	877	2690
246	879	2680
247	881	2671
248	883	2663
249	884	2653
250	885	2643
251	887	2633
252	891	2632
253	895	2629
254	897	2623
255	899	2614
256	925	2677
257	928	2669
258	929	2659
259	930	2649
260	932	2639
261	933	2630
262	935	2620
263	938	2615
264	940	2607
265	943	2602
266	944	2593
267	946	2584
268	947	2575
269	949	2566
270	951	2558
271	952	2550
272	954	2541
273	955	2531
274	956	2522
275	959	2516
276	963	2514
277	965	2507
278	967	2499
279	968	2491
280	970	2482
281	971	2474
282	973	2467
283	975	2459
284	976	2450
285	978	2441
286	979	2433
287	982	2429
288	984	2423
289	987	2417
290	989	2411
291	991	2404
292	993	2396
293	994	2388
294	997	2382
295	998	2374
296	999	2366
297	1000	2357
298	1002	2351
299	1005	2346
300	1008	2340
301	1010	2334
302	1011	2327
303	1013	2319
304	1014	2311
305	1015	2304
306	1019	2302
307	1021	2295
308	1023	2288
309	1027	2287
310	1031	2284
311	1034	2282
312	1037	2276
313	1039	2270
314	1040	2263
315	1043	2257
316	1044	2251
317	1053	2258
318	1055	2254
319	1057	2248
320	1060	2242
321	1063	2238
322	1065	2232
323	1067	2227
324	1069	2221
325	1075	2223
326	1078	2219
327	1082	2217
328	1086	2215
329	1089	2211
330	1093	2209
331	1096	2205
332	1098	2200
333	1101	2196
334	1104	2192
335	1107	2188
336	1115	2194
337	1117	2188
338	1121	2187
339	1123	2181
340	1125	2175
341	1128	2170
342	1129	2163
343	1132	2160
344	1135	2155
345	1136	2148
346	1138	2143
347	1141	2138
348	1143	2132
349	1144	2126
350	1146	2119
351	1147	2113
352	1149	2106
353	1151	2100
354	1153	2095
